,0,1,2,3,4
AAZ APP-EPAPER,0,0,0,0,0
AAZ APP-LIVE,5018630,1525782,85.41,00:51:37,02:49:33
AAZ WEB,11430895,3004153,98.76,00:33:47,02:07:46
BAT APP-EPAPER,0,0,0,0,0
BAT APP-LIVE,129275,37196,90.25,00:47:21,02:43:48
BAT WEB,353828,92435,97.71,00:31:27,01:54:01
BLZ APP-EPAPER,0,0,0,0,0
BLZ APP-LIVE,1588355,523052,78.91,00:55:49,02:49:17
BLZ WEB,32,14,29.00,00:04:16,00:29:49
BZB APP-EPAPER,0,0,0,0,0
BZB APP-LIVE,346692,117953,76.33,00:56:12,02:44:52
BZB WEB,3678386,1052400,90.94,00:38:29,02:13:13
GTB APP-EPAPER,0,0,0,0,0
GTB APP-LIVE,117784,36534,83.59,00:48:52,02:36:31
GTB WEB,310291,78458,101.66,00:28:16,01:47:46
LIZ APP-EPAPER,0,0,0,0,0
LIZ APP-LIVE,175035,63443,71.70,00:50:29,02:19:10
LIZ WEB,391106,130490,78.31,00:30:27,01:31:19
OT APP-EPAPER,0,0,0,0,0
OT APP-LIVE,419356,137353,79.22,00:46:44,02:22:15
OT WEB,652888,170537,99.14,00:37:55,02:22:14
SOZ APP-EPAPER,0,0,0,0,0
SOZ APP-LIVE,1063410,341347,80.88,00:50:29,02:36:56
SOZ WEB,1891865,480838,101.86,00:32:31,02:06:10
